Account,Text,Date,Compound,Positive,Neutral,Negative
@BBC,Miles of cable and thousands of twinkling bulbs have been used to create the longest festive tunnel of light in Eur… https://t.co/C22wpljo2u,12/10/17,0.625,0.203,0.797,0.0
@BBC,"Tonight, David Attenborough investigates the remarkable story of Jumbo the elephant. Attenborough and the Giant Ele… https://t.co/4NK1B5ZNwr",12/10/17,0.557,0.184,0.816,0.0
@BBC,"98-year-old Mary wins Christmas, and our hearts. ????
Via @BBCLookNorth. https://t.co/4gOl16THuM",12/10/17,0.572,0.27,0.73,0.0
@BBC,RT @BBCTwo: Who wants a Sneaky Peak at the next episode of #PeakyBlinders? ? https://t.co/tzCB83ceSS,12/10/17,-0.226,0.0,0.863,0.137
@BBC,"RT @bbcstories: ""I think people my age think that death is something to be scared of but I think it's like being free and at peace"" - Meet…",12/10/17,0.876,0.329,0.555,0.116
@BBC,? How to deal with mental health issues in the family. https://t.co/48BOLabkXK https://t.co/7Eh3EjYywg,12/10/17,0.0,0.0,1.0,0.0
@BBC,This 12-year-old has created a cheap way to test lead levels in water using a mobile phone app. ??Via @BBCClick. https://t.co/TWqttOHJX3,12/10/17,0.25,0.1,0.9,0.0
@BBC,?? We've been listening for signs of life from other worlds for decades with little success. But what should we do… https://t.co/e3IETfS8cs,12/10/17,0.528,0.14,0.86,0.0
@BBC,Thousands of internet users have come together to buy this stunning castle... although it does need a little TLC. ?… https://t.co/qhkNd4HyM5,12/10/17,0.459,0.136,0.864,0.0
@BBC,"That was unexpected. ?

Michael McIntyre's Big Show via @BBCOne. https://t.co/2QUZXppIbQ",12/10/17,0.0,0.0,1.0,0.0
@BBC,#SkiSunday is back! ?? Join the team in Val D'Isere for the men's slalom. 5:15pm on @BBCTwo. https://t.co/mPdHEuxHOX https://t.co/w3pqO1lCn6,12/10/17,0.359,0.122,0.878,0.0
@BBC,"? @DanTDM has been named the highest-earning YouTuber of 2017 - making £12.3m this year, according to @Forbes magaz… https://t.co/yVEcwct3Es",12/10/17,0.0,0.0,1.0,0.0
@BBC,"Rebel Wilson reenacts her Pitch Perfect audition and it’s slap-tastic.

The Graham Norton Show | @BBCOne https://t.co/TYszXcf9ZH",12/10/17,0.477,0.192,0.725,0.083
@BBC,The BBC has made the 1930s issues of the complete Radio Times magazines available online for the first time. ? Chec… https://t.co/aeK8TTggDW,12/10/17,0.0,0.0,1.0,0.0
@BBC,"From Dark, to the return of The Crown &amp; a #DoctorWho Christmas special, here are the TV shows worth watching in Dec… https://t.co/4qq2MlpONj",12/10/17,0.557,0.187,0.813,0.0
@BBC,"RT @bbcthree: In 2011 BBC Three made a documentary about a boy who defied his bullies. 

Now #EverybodysTalkingAboutJamie again. https://t.…",12/10/17,0.0,0.0,1.0,0.0
@BBC,"'There's ignorance about employment law &amp; people don't want to hear complaints.'
Classical music has a sexual haras… https://t.co/PpdlbV0Gck",12/10/17,-0.406,0.0,0.811,0.189
@BBC,"'Their birthdays are never easy.' 
Hannah is one of thousands of mums living with PTSD from experiencing traumatic… https://t.co/lPMW5VXHfa",12/10/17,0.0,0.0,1.0,0.0
@BBC,"How do you make puppets fall in love? ????
Puppeteers reveal their techniques. https://t.co/GPNqLrFZit https://t.co/HfB09Yw8ek",12/10/17,0.637,0.231,0.769,0.0
@BBC,"RT @CBeebiesHQ: He's the disco dancing, geography guide with the moves! ?

@BBCStrictly doesn't know what's hit it! ?

#GoJetters?

#Strict…",12/10/17,0.0,0.0,1.0,0.0
@BBC,"RT @BBCBreakfast: A clairvoyant cat? ? Or a turtle in the know??
Animals in Russia are predicting the outcome of @FIFAWorldCup 2018 https:/…",12/10/17,0.0,0.0,1.0,0.0
@BBC,RT @BBCOne: David Attenborough uncovers the story of Jumbo – a celebrity animal superstar who is said to have inspired the movie Dumbo. Ton…,12/10/17,0.494,0.132,0.868,0.0
@BBC,Watch @ScottishBallet's incredible interpretations of Stravinsky. https://t.co/NGZuhnKutW https://t.co/vUOkoaJ7mc,12/10/17,0.0,0.0,1.0,0.0
@BBC,? @Time magazine has named 'the Silence Breakers' - women who spoke out against sexual abuse &amp; harassment - as its… https://t.co/roSq8US4Ev,12/10/17,-0.827,0.0,0.688,0.312
@BBC,RT @BBCWthrWatchers: Some great pics of #UKsnow sent in by the early risers! https://t.co/b9Of6bvvIz,12/10/17,0.659,0.253,0.747,0.0
@BBC,"RT @BBCR1: ? BIG FESTIVE NEWS ?

We've invited some of your favourite stars to take over Radio 1 on Christmas Day!

Get ready for Superstar…",12/10/17,0.76,0.237,0.763,0.0
@BBC,"RT @BBCEarth: These orca just want a meal, but they could be risking their lives. ?#BluePlanet2 https://t.co/JeLlETfohs",12/10/17,-0.421,0.064,0.773,0.163
@BBC,"'Whilst I appreciate the lovely people slowing down, if you see somebody with a guide dog, just drive on. Ziggy's g… https://t.co/CeH3p8geLq",12/10/17,0.758,0.265,0.735,0.0
@BBC,"‘Why won’t he let me leave?!'
The #BluePlanet2 team had a rather unexpected visitor while filming in the Galapagos.… https://t.co/vvBS7WorXO",12/10/17,0.0,0.0,1.0,0.0
@BBC,"The Greek concept of philoxenia, which translates as ‘love of strangers’, is a warmth that makes foreigners feel im… https://t.co/O3BzC7lUp3",12/10/17,0.459,0.143,0.857,0.0
@BBC,"A study of nearly 12,000 children in the UK found 25% were overweight or obese at age seven, rising to 35% at 11.… https://t.co/41qA60xnUd",12/10/17,-0.361,0.0,0.898,0.102
@BBC,"GET EXCITED!! ?????
@Camila_Cabello has set the release date of her debut album Camila for 12 January.… https://t.co/gRtJVD7FEh",12/09/17,0.574,0.179,0.821,0.0
@BBC,"Have we got five eight-year-olds robbing houses? No! We've got two bams with triplets. ?
#ScotSquad via… https://t.co/HUsw0CjaoY",12/09/17,-0.359,0.0,0.865,0.135
@BBC,"The history of condoms stretches back around 3,000 years – but they still offer the best protection against STIs.… https://t.co/shw3Jn5og1",12/09/17,0.778,0.244,0.756,0.0
@BBC,"Sexually frivolous and morally ambiguous. 
Meet pro wrestling’s pansexual phenomenon...????????
Via @BBC5Live. https://t.co/2Asruxhnv8",12/09/17,0.0,0.0,1.0,0.0
@BBC,"RT @BBCWthrWatchers: Ok, so #snow can be a pain ...but wow ? 
We're all feeling just a little more festive after your great efforts today!…",12/09/17,0.891,0.436,0.468,0.096
@BBC,"RT @bbcthree: YOU'VE BEEN LIVING A LIE.
https://t.co/YUCx48Mv0o",12/09/17,0.0,0.0,1.0,0.0
@BBC,"RT @bbcstories: Do our young men lack positive role models? Davis thought so, so he founded The Manhood Academy. #EverydayHeroes https://t.…",12/09/17,0.318,0.145,0.763,0.092
@BBC,"RT @BBCEarth: In Cape Verde, @ProjetoBioSal is on a mission to save baby turtles from human impact. ?
#OurBluePlanet w/ @AluciaProd https:/…",12/09/17,0.494,0.144,0.856,0.0
@BBC,"RT @BBCSpringwatch: Brrr, a chilly one tonight!
Luckily we've some gorgeous grey seals in our advent calendar to warm to cockles of your he…",12/09/17,0.866,0.36,0.64,0.0
@CBS,The search is on to find the pro football player with the best off-the-field talent! Vote for your favorite perform… https://t.co/musmVXrRJz,12/11/17,0.883,0.364,0.636,0.0
@CBS,RT @MadamSecretary: No D.C. holiday party is complete without some political persuasion and a covert sting to bust a corrupt senator. ??? S…,12/11/17,0.494,0.211,0.703,0.086
@CBS,"Due to NFL overrun, CBS is delayed 8 mins in the following ET &amp; CT markets: Hunstville, AL, Bowling Green, KY, MS,… https://t.co/gbwhgooEQd",12/11/17,-0.226,0.0,0.917,0.083
@CBS,"Due to NFL overrun CBS is delayed 7 mins in the following ET &amp; CT markets Tampa, Chicago, Maryland, Michigan, Wash… https://t.co/driVgCiX7D",12/11/17,-0.226,0.0,0.913,0.087
@CBS,"RT @NoActivityCBS: If you want the intel, you get the tickles. ? Stream the first 5 episodes of #NoActivity now: https://t.co/Wzq9bVOhGN ht…",12/10/17,0.077,0.064,0.936,0.0
@CBS,RT @startrekcbs: .@albinokid and @wcruz73 are breaking new ground in #StarTrekDiscovery. ???? Stream chapter 1 on CBS All Access: https://t…,12/10/17,0.0,0.0,1.0,0.0
@CBS,Don’t miss America’s Game! Stream the Army-Navy game LIVE today at 3PM ET with a FREE trial of #CBSAllAccess:… https://t.co/38udnQj2vs,12/09/17,0.575,0.189,0.742,0.07
@CBS,"There's still time before we have to say so long! Catch up with Carol Burnett, her original castmates and special g… https://t.co/WTiK8dzaXO",12/09/17,0.648,0.209,0.791,0.0
@CBS,RT @bigbangtheory: It's the biggest best friend breakup of the year... ? Stream the latest full episode of #BigBangTheory: https://t.co/iIw…,12/08/17,0.813,0.303,0.697,0.0
@CBS,"RT @AmazingRaceCBS: Presenting... the 30th cast of the #AmazingRace! Made up of champions and winners, this is quite literally the most com…",12/07/17,0.778,0.254,0.746,0.0
@CBS,Do you know all the nominees for Song Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of Mu… https://t.co/I6hhOtfQjb,12/07/17,0.542,0.137,0.863,0.0
@CBS,"A new Twilight Zone original series is coming exclusively to CBS All Access in association with @JordanPeele,… https://t.co/fVYnhUASee",12/06/17,0.318,0.126,0.874,0.0
@CBS,RT @SuperiorDonuts: You'll want to check this box! ?? Stream the latest episode of #SuperiorDonuts: https://t.co/h1xhKLCAPl https://t.co/d8…,12/05/17,0.151,0.09,0.91,0.0
@CBS,RT @YoungSheldon: Wondering what it's like behind the scenes of #YoungSheldon? Let star @OfficialRaeganR take you on a tour of the set! htt…,12/05/17,0.42,0.117,0.883,0.0
@CBS,The Kennedy Center Honors recognizes the lifetime contributions of all types of performance artists. Watch the 40th… https://t.co/azF3rW2ptw,12/05/17,0.511,0.163,0.837,0.0
@CBS,RT @YoungSheldon: There's something @elonmusk never told you about @spacex's Falcon 9. ?  #YoungSheldon https://t.co/bu3W0IC8zN,12/05/17,0.0,0.0,1.0,0.0
@CBS,"Just like old times, Carol Burnett bumps up the lights and answers questions from the audience. Catch up on The Car… https://t.co/9r7WI8d1tZ",12/04/17,0.361,0.106,0.894,0.0
@CBS,Star comedian @JimCarrey gets emotional when he expresses his heartfelt thanks to Carol Burnett for her positive in… https://t.co/5QCejBcg5T,12/04/17,0.922,0.504,0.496,0.0
@CBS,Take a trip down memory lane with Carol Burnett for a special tribute you'll never forget. Catch up on The Carol Bu… https://t.co/XBINDav614,12/04/17,0.521,0.187,0.813,0.0
@CBS,"RT @JLawlorNY: So, ok...maybe I'm crying at at the #CarolBurnett50 finale with everyone singing her theme song! #ImSoGladWeHadThisTimeToget…",12/04/17,-0.566,0.0,0.823,0.177
@CBS,RT @junerenee: A true classic and favorite!! Love #CarolBurnett50 laughed and cried...just like before!,12/04/17,0.947,0.672,0.328,0.0
@CBS,RT if you’ve loved reliving these classic moments during #CarolBurnett50 https://t.co/I1tIWeSlsQ,12/04/17,0.599,0.281,0.719,0.0
@CBS,RT @Mom101: I can't tell you the joy of seeing my 10yo laughing at this. Especially the Tim Conway dentist sketch.  #CarolBurnett50,12/04/17,0.791,0.269,0.731,0.0
@CBS,"RT @AdeleAndMike: Thank You for bringing back such wonderful memories, the entire family would gather to watch, and we would then laugh abo…",12/04/17,0.869,0.329,0.671,0.0
@CBS,RT @tessab13: The Siamese Elephants skit on the Carol Burnett show is such a classic and possibly my favorite. Loved Tim Conway! #CarolBurn…,12/04/17,0.802,0.264,0.736,0.0
@CBS,RT @inezpanebianco: @OfficialBPeters and Carol Burnett reminiscing back on the carol burnett show is my idea of a perfect night ?? #CarolBu…,12/04/17,0.572,0.156,0.844,0.0
@CBS,"What a performance by @OfficialBPeters, @KChenoweth, Carol Burnett, Steve Lawrence, and @StephenAtHome!… https://t.co/DqewQ6ASQp",12/04/17,0.0,0.0,1.0,0.0
@CBS,RT @jonjeffryes: Bob Mackie created 65 costumes a week for The Carol Burnett Show #CarolBurnett50,12/04/17,0.25,0.133,0.867,0.0
@CBS,RT @bmayberry92: Steve Carell with that video submission though! ? #carolburnett50,12/04/17,0.0,0.0,1.0,0.0
@CBS,She’s still got it! #CarolBurnett50 https://t.co/zTxZc5zrqP,12/04/17,0.0,0.0,1.0,0.0
@CBS,RT @BobMackie: Our friend Tim Conway never failed to make us laugh #CarolBurnett50,12/04/17,0.859,0.487,0.513,0.0
@CBS,RT @bpeters99: #CarolBurnett50  Am I the Only one with tears in my eyes while I give a standing ovation from my couch? One of the most bril…,12/04/17,-0.226,0.0,0.924,0.076
@CBS,RT @SuperJen1117: This show is awesome...Some of the funniest women together on one stage ???? #CarolBurnett50,12/04/17,0.557,0.194,0.806,0.0
@CBS,These two are just like sisters ?? #CarolBurnett50 https://t.co/EPpyf2kOuV,12/04/17,0.361,0.238,0.762,0.0
@CBS,RT @chattie: Watching #carolburnett50  can’t quit smiling. Brings me memories of watching on Saturday nights with my mom and grandma.,12/04/17,0.459,0.136,0.864,0.0
@CBS,RT @DanRocks98: Settling in for the #CarolBurnett50 special. This lady is comedy gold! A true staple of my childhood.,12/04/17,0.807,0.356,0.644,0.0
@CBS,She’s back! Tune in now to see The Carol Burnett 50th Anniversary Special on CBS and CBS All Access. #CarolBurnett50 https://t.co/HhvRmT5AR0,12/04/17,0.457,0.13,0.87,0.0
@CBS,"Due to #NFL football overrun #CBS is delayed 11 min in: 
Atlanta 
Baltimore 
Columbus
Cleveland 
Toledo
Detroit
Fli… https://t.co/oCkn11yJOR",12/04/17,-0.226,0.0,0.905,0.095
@CBS,Relive the laughter and the magic in this star-studded tribute to everyone's favorite classic comedy show. Don't mi… https://t.co/WV6jxBnRAt,12/03/17,0.827,0.352,0.648,0.0
@CBS,"Tonight, spend an evening together with Carol Burnett and celebrity friends as they celebrate The Carol Burnett 50t… https://t.co/uH2uM9cJFS",12/03/17,0.778,0.286,0.714,0.0
@CBS,Carol Burnett credits the close-knit cast for the success of her show. Join her and original cast members Vicki Law… https://t.co/1rlNPUS5EJ,12/03/17,0.866,0.386,0.614,0.0
@CBS,Carol Burnett and friends reflect on how the show became an instant classic that's still celebrated today! Join the… https://t.co/lZgVz9XSyM,12/03/17,0.852,0.353,0.647,0.0
@CBS,"Tonight, celebrate with Carol Burnett, Vicki Lawrence, Lyle Waggoner &amp; more special guests! Find out how to watch T… https://t.co/Rhm6RJ34u2",12/03/17,0.79,0.28,0.72,0.0
@CBS,Stream Indiana at Michigan LIVE today at 12:30PM ET with a 1-month FREE trial of #CBSAllAccess. Just use promo code… https://t.co/xRem3zSyEQ,12/02/17,0.617,0.175,0.825,0.0
@CBS,Kristin Chenoweth (@KChenoweth) explains why audiences still crave Carol Burnett! Don't miss The Carol Burnett 50th… https://t.co/kM92NTtTfs,12/02/17,0.187,0.098,0.902,0.0
@CBS,"Catch up on this amazing lineup of music specials! Here's how to watch Bruno Mars: 24K Magic Live at the Apollo, Th… https://t.co/Jit2CzZJCY",12/02/17,0.7,0.179,0.821,0.0
@CBS,Missed Bruno Mars: 24K Magic Live at the Apollo? Keep up! Watch the full show: https://t.co/itXpGB5gRm #BrunoMars https://t.co/8yyQlC1LML,12/02/17,-0.359,0.0,0.872,0.128
@CBS,Reminisce with these classic photos and get ready to relive the magic when The Carol Burnett 50th Anniversary Speci… https://t.co/yJQEzCjoSA,12/01/17,0.361,0.116,0.884,0.0
@CBS,"RT @LivinBiblically: In the beginning, there was Chip. And lo! Chip had a revelation. #LivingBiblically is a new comedy premiering Monday,…",12/01/17,0.42,0.134,0.866,0.0
@CBS,"Discover these pro football stars' off-the-field talents in MVP: Most Valuable Performer, airing Jan 25 on CBS! Fin… https://t.co/g8jSRW8mQf",12/01/17,0.771,0.282,0.718,0.0
@CBS,"Find out when #BigBrother celebrity edition, #AmazingRace, #Survivor, new drama @instinctcbs and new comedy… https://t.co/4Psl74zcCB",12/01/17,0.0,0.0,1.0,0.0
@CBS,Actress @BethBehrs explains why Carol Burnett is her hero! Celebrate her lasting influence with The Carol Burnett 5… https://t.co/Lnt5P9jEu0,12/01/17,0.822,0.309,0.691,0.0
@CBS,"RT @instinctcbs: New drama #Instinct, starring @Alancumming, premieres Sunday, March 11 on @CBS! https://t.co/aaL0JXpqav",12/01/17,0.0,0.0,1.0,0.0
@CBS,"RT @AmazingRaceCBS: On your marks... #AmazingRace returns Wednesday, January 3! https://t.co/XMSJSUymUZ",12/01/17,0.0,0.0,1.0,0.0
@CBS,RT @CBSBigBrother: Mark. Your. Calendars. The celebrity edition of #BigBrother premieres February 7! https://t.co/nP3Do6jTwM,12/01/17,0.0,0.0,1.0,0.0
@CBS,The Angels await you... catch up on the world's most celebrated fashion show now! Watch the full 2017… https://t.co/xfYDbEzpfX,12/01/17,0.689,0.251,0.749,0.0
@CBS,"Comedy stars Amy Poehler, Bill Hader, @MayaRudolph &amp; @TraceeEllisRoss give the legendary Tarzan yell a try- but no… https://t.co/lrrHE2f9Nv",12/01/17,0.19,0.093,0.907,0.0
@CBS,Action-adventure series 'Blood &amp; Treasure' has been picked up for broadcast in Summer 2019: https://t.co/gAjqbF5bYh https://t.co/3cTBH9AKFI,12/01/17,0.296,0.128,0.872,0.0
@CBS,Carol Burnett visited @TheTalkCBS to discuss how she got her start in show business! Watch The Carol Burnett 50th A… https://t.co/EyqmFWZHEC,11/30/17,0.0,0.0,1.0,0.0
